Aviso,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.","Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.","Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,
Tipo de información,Niveles,Niveles,,,,Niveles,,,,Niveles,Niveles,,,,
Fecha,c_corriente,x,i_servicios,i_fact,i_trans,m ,e_servicios,e_fact,e_trans,c_capital,c_financiera,act_reserva,e_omisiones,ie_directa,ie_cartera
01/04/2017,-2712.458904,102755.6702,8392.683593,2523.21518,8072.588214,103060.017,12287.45055,8871.898035,237.250511,-11.966195,6706.97938,-3985.798088,-3982.554281,6235.587121,-261.376914
01/07/2017,-5123.075992,101930.1302,9119.742074,2639.296914,8159.475153,108011.9951,12655.79567,6052.154385,251.775156,-17.562227,10265.18217,-1193.304471,-5124.543947,8364.729878,2099.695581
01/10/2017,-252.951409,110287.8238,12000.54833,2874.997817,8433.429896,112141.9289,12355.45664,9093.819561,258.546194,205.593633,16453.4047,286.191392,-16406.04692,3790.555187,2485.920235
01/01/2018,-12101.4221,105384.982,10281.43061,3027.747817,7542.497996,107150.7099,13378.95112,17545.5342,262.885251,-23.914737,10079.03825,2128.421657,2046.298586,11163.11389,4654.169353
01/04/2018,-3886.04886,113971.904,9627.041321,3584.743843,9487.603121,116755.0471,13060.77879,10485.59953,255.915696,-11.78088,5574.174937,911.307998,-1676.345197,7356.976574,2136.631925
01/07/2018,-5807.488048,114083.8894,9468.635242,3649.303029,8899.737762,119887.3233,13006.38572,8776.436289,238.908108,-17.648273,6767.793464,-822.774567,-942.657143,1373.414562,1852.591424
01/10/2018,-4136.844944,117641.4594,10843.82273,3270.704509,9354.094783,121056.7848,14617.99828,9312.926867,259.216377,-11.672467,8799.411166,-1733.754991,-4650.893755,5718.370449,-38.417537
01/01/2019,-11515.76195,108174.8719,11974.23988,4147.530947,8280.783809,109990.5376,13430.71115,20434.00517,237.934607,-35.357435,12034.2768,4424.269469,-483.157421,12579.21092,8545.867826
01/04/2019,5057.729923,119351.0253,11405.4025,3533.340731,9905.347294,114387.2252,12840.50118,11676.66419,232.995301,-2.895582,1576.330952,2550.271864,-6631.165293,5091.245802,-2921.308075
01/07/2019,-253.982185,116429.0413,10271.27935,3840.298976,10252.5812,117527.7724,14522.47284,8768.963076,227.974648,-8.583304,-284.248051,-4101.557543,546.81354,3878.840446,2451.536013
01/10/2019,2840.847946,116984.635,10511.68278,3393.71462,9655.327736,113866.5301,12802.07852,10784.48764,251.415933,-9.034787,2585.221449,-234.870745,-5417.034608,2312.640982,-1000.102473
01/01/2020,-7033.887294,108403.383,10917.05276,2626.854915,9910.286413,104884.8694,11986.67792,21827.75332,192.163679,-13.163927,6519.874217,4300.344084,527.177004,16166.08766,2380.698099
01/04/2020,-354.945018,74397.42211,4568.909219,2450.957303,10442.64348,75562.29829,8566.9605,7945.704294,139.914042,15.975395,-4787.116599,6554.592313,5126.086222,3212.885753,-7092.285138
01/07/2020,16937.57643,111065.3045,5577.252418,2216.394914,11241.65479,94856.72033,9927.191305,8209.553953,169.564564,-5.519168,-13731.14861,2318.620968,-3200.908653,1357.353341,-1898.640512
01/10/2020,17356.54336,123456.7139,7473.185874,1931.874031,11273.0654,107868.3389,10494.49355,8201.582859,213.88053,-7.912701,-8789.343133,-1183.571104,-8559.287529,5754.526027,-3698.485625
01/01/2021,-9291.916,111994.7894,7888.777822,2847.193263,11134.14866,113418.7735,11903.34079,17637.96898,196.741897,-7.373875,7484.415634,1811.538503,1814.874241,14831.68654,-5637.099616
01/04/2021,6139.267547,124497.9134,10229.65119,2221.231925,13675.20199,121687.4247,13401.69744,9177.956578,217.652178,-11.013224,-7986.89506,-276.140384,1858.640737,5782.640646,-6895.749905
01/07/2021,-3523.537783,123292.5705,12297.98651,2534.049844,14066.4602,133333.4955,14795.684,7373.898054,211.527359,-17.842926,2749.680777,12913.50799,791.699932,5446.252176,-14570.07807
01/10/2021,2182.430363,135488.9531,12023.26623,2268.356108,14537.85793,137564.9177,14736.77436,9625.023735,209.287148,-10.650238,1128.764847,-4160.587195,-3300.544972,9551.73623,-14475.63808
01/01/2022,-11542.11825,132239.755,11471.62638,2744.595704,12791.32835,137068.1244,15068.37935,18425.53812,227.381847,-7.219633,11602.54567,3933.470418,-53.207788,18052.61064,-3250.472693
01/04/2022,-1800.857692,148893.148,12947.0287,5306.277169,15294.61157,156971.9817,16483.32432,10551.59901,235.018117,-3.611814,448.081801,-3455.932384,1356.387705,3448.602637,-5199.858343
01/07/2022,-6043.312998,149158.2497,13742.62258,4758.851108,15802.8256,162057.3836,17585.59546,9634.325653,228.557212,-53.687173,6996.767842,698.492081,-899.767671,2109.615926,-310.358168
01/10/2022,1786.881821,147894.3016,13999.78134,5754.540124,15854.2248,149204.2265,18475.45625,13772.38834,263.89499,-11.750366,-4348.927621,-2868.11924,2573.796166,-1843.82236,3648.703406
01/01/2023,-20646.61577,141166.0448,15077.17734,4872.37146,14188.07239,146048.5679,19505.83151,30113.20798,282.674391,92.473927,17474.7372,2857.83385,3079.404644,24467.50837,1688.450816
01/04/2023,2106.413425,150900.9652,13361.04709,6093.690317,16506.28688,152565.0085,18880.63618,13036.58291,273.348481,-10.00171,-638.269498,4306.478201,-1458.142217,6457.058811,-4082.255722
01/07/2023,1218.368654,150056.6451,12980.48611,5478.978186,17078.88966,153475.4413,18862.02171,11763.02276,276.144549,-82.880852,-265.236135,-115.031283,-870.251667,-603.638968,-7725.336021
01/10/2023,11845.12293,151449.8541,14736.65348,5249.031236,16560.7055,147033.2617,18324.20551,10474.97664,318.677487,-11.859495,-8719.343797,532.480917,-3113.919641,-474.991571,-1154.241655
01/01/2024,-21373.7085,143663.0489,16737.52204,5169.739972,14278.15319,146407.7878,17622.54105,36833.80317,358.040641,9.981014,26425.38506,4727.575409,-5061.657577,25340.02407,8646.965624
01/04/2024,3638.815076,156040.1793,15087.38145,6206.989311,17443.0149,158832.348,16640.03593,15302.37838,363.987547,-2.736578,-5678.907,5252.303144,2042.828502,2911.353085,-8232.729687
